"","Station_ID","UTM_X","UTM_Y","days","Subpop","counts"
"230","ITCHA3-22",1079411.39799658,857475.473665613,405,"Chilcotin",0
"231","ITCHA3-23",1081768.10786527,857660.295728749,688,"Chilcotin",0
"232","ITCHA3-24",1084196.18731915,857613.27850298,661,"Chilcotin",0
"233","ITCHA3-25",1072424.14131775,860286.949368251,705,"Chilcotin",0
"234","ITCHA3-26",1074984.5692255,860293.054994722,663,"Chilcotin",0
"235","ITCHA3-27",1077139.01164807,860405.504731358,581,"Chilcotin",0
"236","ITCHA3-28",1079364.0712999,860319.305463209,668,"Chilcotin",0
"237","ITCHA3-29",1081790.18098195,860304.519981534,390,"Chilcotin",0
"238","ITCHA3-30",1083953.53634726,859907.043976408,684,"Chilcotin",0
"239","ITCHA4-01",1123850.64372057,818237.970501979,734,"Chilcotin",0
"240","ITCHA4-02",1116540.81636293,802730.426650957,723,"Chilcotin",0
"241","ITCHA4-03",1118660.93541213,802514.41268773,734,"Chilcotin",0
"242","ITCHA4-04",1121720.95844311,802914.053315852,736,"Chilcotin",0
"243","ITCHA4-05",1124248.06536081,802799.995924163,733,"Chilcotin",0
"244","ITCHA4-06",1113589.18475494,817951.29670689,474,"Chilcotin",0
"245","ITCHA4-07",1116614.93003129,805308.56048395,733,"Chilcotin",0
"246","ITCHA4-08",1119071.07975961,805245.875855336,737,"Chilcotin",0
"247","ITCHA4-09",1121656.58455228,805466.534666568,733,"Chilcotin",0
"248","ITCHA4-10",1124174.32325173,805664.53245164,737,"Chilcotin",1
"249","ITCHA4-11",1115828.23180767,818160.836350461,734,"Chilcotin",0
"250","ITCHA4-12",1116487.8095999,807748.039764951,739,"Chilcotin",0
"251","ITCHA4-13",1118937.21760309,807908.221041168,738,"Chilcotin",0
"252","ITCHA4-14",1121659.47010202,808054.220163171,712,"Chilcotin",0
"253","ITCHA4-15",1123900.29838226,808367.823136679,737,"Chilcotin",0
"254","ITCHA4-16",1118478.70035026,818225.377495813,735,"Chilcotin",0
"255","ITCHA4-17",1116286.76533453,810431.154727372,738,"Chilcotin",0
"256","ITCHA4-18",1118802.60497625,810604.059988433,648,"Chilcotin",0
"257","ITCHA4-19",1121593.08884675,810684.820926687,735,"Chilcotin",0
"258","ITCHA4-20",1123974.55122534,810778.966101426,735,"Chilcotin",0
"259","ITCHA4-21",1113639.05479086,812955.590947705,736,"Chilcotin",0
"260","ITCHA4-22",1115816.69009778,812985.156754716,129,"Chilcotin",0
"261","ITCHA4-22B",1115739.81509106,813351.380514739,475,"Chilcotin",0
"262","ITCHA4-23",1119216.99613855,813123.89417031,735,"Chilcotin",0
"263","ITCHA4-24",1121323.17898439,813288.030780885,713,"Chilcotin",0
"264","ITCHA4-25",1123908.58889417,813342.702313387,263,"Chilcotin",0
"265","ITCHA4-25B",1123976.6181284,813344.453117357,473,"Chilcotin",0
"266","ITCHA4-26",1113505.0413802,815752.0004801,733,"Chilcotin",0
"267","ITCHA4-27",1116098.79042159,815401.167349105,682,"Chilcotin",0
"268","ITCHA4-28",1118541.01650774,815694.922606035,737,"Chilcotin",1
"269","ITCHA4-29",1121259.15331162,815829.553829923,734,"Chilcotin",0
"270","ITCHA4-30",1123908.32273771,815997.410074167,735,"Chilcotin",0
"271","ITCHA5-01",1113207.44594459,842717.266647491,285,"Chilcotin",0
"272","ITCHA5-01B",1113206.65484353,842750.715301322,436,"Chilcotin",2
"273","ITCHA5-02",1115708.08149373,842821.686987615,661,"Chilcotin",0
